1663,yfZS,SHAURYA,DEO,M,67895566,24001 Kuwait Safat 13101,HU888DE,FIwjOy2Bkd,SAVING,9532450092,1450,15-Feb-21,"[['10 Feb 2021 ', '+', '1000'], ['24 Jan 2020 ', '-', 250.0], ['21 Mar 2021 ', '+', 700.0]]",5.23E+15
9019,fd9A,SWATI,KHANDELWAL,F,88997654,"Ras Salmiyah, 1668 Safat, Kuwait",TT024KL,VLHtLQeR0P,CHECKING,3475685374,42000,15-Feb-21,"[['01 Feb 2020 ', '+', '50000'], ['06 Jun 2020 ', '-', 10000.0], ['11 Nov 2020 ', '+', 2000.0]]",4.32E+15
3044,NchG,NANDINI,VEER,F,56474467,"22287 Miller Lane,  Jahra, Kuwat",IA232EE,Zhvwv7GdhM,SAVING,9532170142,7500,15-Feb-21,"[['05 Mar 2020 ', '+', '6000'], ['16 Apr 2019 ', '-', 4500.0], ['20 Sep 2020 ', '+', 6000.0]]",4.90E+13
8454,7GxZ,RAJEEV,SAWANT,M,89876757,"Al-Shuwaikh, Kuwait",EE266AA,zBuKAdnVLu,SAVING,9532938534,3500,15-Feb-21,"[['15 Oct 2019 ', '+', '4000'], ['25 Jul 2020 ', '+', 5000.0], ['02 Feb 2021 ', '-', 5500.0]]",5.34E+15
5159,kvuR,TISCAv,SANAM,M,67643342,"Bayan 66344, Kuwait",AI475NN,TIHbFJjhQq,SAVING,9532863408,14070,15-Feb-21,"[['04 Apr 2019 ', '+', '7070'], ['10 May 2020 ', '+', 8000.0], ['15 Dec 2020 ', '-', 1000.0]]",5.45E+15
6809,6oXq,AKASH,NIJWAN,M,58674930,"28 Safat 13001, Kuwait",SA579NN,eF3pcRPbkf,SAVING,9532883115,8945,15-Feb-21,"[['08 Jul 2019 ', '+', '8000'], ['16 Feb 2021 ', '+', 6000.0], ['26 Jan 2021 ', '-', 5055.0]]",4.48E+15
6227,dfon,YATHARTH,SEN,M,90987766,"Sabhan 23188 - safat 13074 ,Kuwait",HY440EN,lJn4X7cre1,SAVING,9532160704,18230,15-Feb-21,"[['14 Aug 2020 ', '+', '9000'], ['13 Oct 2019 ', '+', 10000.0], ['16 Feb 2021 ', '-', 770.0]]",4.74E+15
5357,YEaN,RENUKA,CHAUHAN,M,89876543,"4105 Hawally, Kuwait.",KU424CU,jEIlba1d6A,CHECKING,3475643104,49400,15-Feb-21,"[['12 May 2020 ', '+','50000'], ['15 May 2019 ', '+', 7000.0], ['14 Aug 2020 ', '-', 7600.0]]",4.97E+15
4023,Qlgz,SONAL,LAMBA,other,56436655,"51001 Al-Fintas, Kuwait",LO965AL,xmXQucQCQH,SAVING,9532377481,45000,15-Feb-21,"[['16 Aug 2020 ', '+', '44000'], ['05 Jul 2019 ', '+', 8000.0], ['30 Jun 2020 ', '-', 7000.0]]",4.74E+12
1377,Vzkz,NISCHAY,MALHAN,M,91085644,"57520 Abu-Halifa, Kuwait",YY255LL,GuFmer3vd5,CHECKING,3475913398,16600,15-Feb-21,"[['19 Nov 2020 ', '+', '8800'], ['16 Feb 2021 ', '-', 1000.0], ['23 Dec 2019 ', '+', 8800.0]]",5.45E+15
9245,HSdz,ALKA,YUNUS,F,78766563,"60013 Ahmadi, Kuwait.",LK005NU,mu6wbQBevu,CHECKING,3475795230,90000,15-Feb-21,"[['25 Dec 2020 ', '+', '90000'], ['22 Feb 2019 ', '-', 8000.0], ['17 Oct 2020 ', '+', 8000.0]]",4.19E+12
6944,Oj54,Adlen,Dsouza,F,8971855964,"Abu-halifa,  Block-1, Street-1",Ae824sa,hrOQauclh6,SAVING,9532997668,1900.0,24 Feb 2021 ,"[['24 Feb 2021 ', '+', '2000'], ['24 Feb 2021 ', '-', 100.0]]",351247479379549
5737,2X5x,ABHINAV,MALHOTRA,M,67756688,"Shuwaikh Industry 1011- Safat 13011 - Kuwait, Al-Shuwaikh",NN308AA,dl7k9vkrax,SAVING,9532915732,15100.0,16 Mar 2021 ,"[['16 Mar 2021 ', '+', '10000'], ['17 Mar 2021 ', '-', 2500.0], ['17 Mar 2021 ', '+', 7600.0]]",356896885765827
